,loss,acc,val_loss,val_acc,lr
0,1.3988838195800781,0.4651851952075958,0.9548617005348206,0.3625827729701996,0.01
1,0.9176004528999329,0.550000011920929,1.0168973207473755,0.5422185659408569,0.01
2,0.8095711469650269,0.6288889050483704,0.9219235181808472,0.3625827729701996,0.01
3,0.691992461681366,0.6914814710617065,1.0330371856689453,0.3625827729701996,0.01
4,0.5702182054519653,0.7648147940635681,1.099818229675293,0.3865894079208374,0.01
5,0.43934327363967896,0.8199999928474426,0.926153838634491,0.5794702172279358,0.01
6,0.36005932092666626,0.8611111044883728,0.8930796384811401,0.5769867300987244,0.01
7,0.2705134451389313,0.894444465637207,1.027130126953125,0.5637417435646057,0.01
8,0.21787098050117493,0.9181481599807739,1.0315656661987305,0.5844370722770691,0.01
9,0.1856938749551773,0.9418518543243408,1.2414253950119019,0.556291401386261,0.01
10,0.12296203523874283,0.9607407450675964,1.4334180355072021,0.5951986908912659,0.01
11,0.12726113200187683,0.9596296548843384,1.31253182888031,0.5943708419799805,0.01
12,0.06864409893751144,0.9818518757820129,1.221737265586853,0.6456953883171082,0.00049999997
13,0.043244618922472,0.9885185360908508,1.2294743061065674,0.6688741445541382,0.00049999997
14,0.03388112038373947,0.9903703927993774,1.2662097215652466,0.679635763168335,0.00049999997
15,0.029356297105550766,0.9918518662452698,1.271276831626892,0.6788079738616943,0.00049999997
16,0.027696244418621063,0.9937037229537964,1.2908451557159424,0.6763244867324829,0.00049999997
17,0.020193997770547867,0.995555579662323,1.3008055686950684,0.6779801249504089,2.4999998e-05
18,0.028118861839175224,0.9929629564285278,1.3071969747543335,0.679635763168335,2.4999998e-05
19,0.022249609231948853,0.9944444298744202,1.3096498250961304,0.679635763168335,2.4999998e-05
20,0.019475305452942848,0.9959259033203125,1.3094285726547241,0.679635763168335,2.4999998e-05
21,0.02082059532403946,0.9951851963996887,1.3116066455841064,0.679635763168335,2.4999998e-05
22,0.021257644519209862,0.9940740466117859,1.3124204874038696,0.679635763168335,2e-06
23,0.02182832919061184,0.9937037229537964,1.3130608797073364,0.6788079738616943,2e-06
24,0.01834399811923504,0.9951851963996887,1.3150854110717773,0.6779801249504089,2e-06
25,0.016077397391200066,0.9985185265541077,1.3113223314285278,0.679635763168335,2e-06
26,0.02089407667517662,0.9962962865829468,1.3138360977172852,0.6788079738616943,2e-06
27,0.01935539022088051,0.9962962865829468,1.3146494626998901,0.6771523356437683,2e-06
28,0.019763708114624023,0.995555579662323,1.3106821775436401,0.6779801249504089,2e-06
29,0.020255811512470245,0.9959259033203125,1.314195990562439,0.6779801249504089,2e-06
30,0.022711005061864853,0.9951851963996887,1.314996361732483,0.679635763168335,2e-06
