,loss,accuracy,val_loss,val_accuracy
0,1.2364284992218018,0.4320000112056732,1.368198275566101,0.40066224336624146
1,0.9327172636985779,0.5646666884422302,1.2905323505401611,0.4089404046535492
2,0.8118760585784912,0.6393333077430725,1.301569938659668,0.3990066349506378
3,0.7277257442474365,0.6903333067893982,1.4071074724197388,0.41639071702957153
4,0.6590248942375183,0.7166666388511658,1.5117089748382568,0.3708609342575073
5,0.593551516532898,0.7559999823570251,1.465166449546814,0.4081125855445862
6,0.5636929869651794,0.7633333206176758,1.5194700956344604,0.41307947039604187
7,0.5256866812705994,0.7836666703224182,1.6727330684661865,0.36672186851501465
8,0.4703177511692047,0.8036666512489319,1.6791107654571533,0.3865894079208374
9,0.43651649355888367,0.8273333311080933,1.6497095823287964,0.41804635524749756
10,0.40604186058044434,0.8429999947547913,1.642760992050171,0.4205298125743866
11,0.3727499544620514,0.8489999771118164,1.791486382484436,0.3973509967327118
12,0.37249109148979187,0.847000002861023,1.737634301185608,0.4139072895050049
13,0.3410683870315552,0.8610000014305115,1.823464274406433,0.40562912821769714
14,0.327663391828537,0.8743333220481873,1.9009239673614502,0.3990066349506378
15,0.28699445724487305,0.8923333287239075,1.902829647064209,0.4155629277229309
16,0.2821946144104004,0.890666663646698,1.991918921470642,0.39569535851478577
17,0.29429930448532104,0.8859999775886536,2.14678955078125,0.3700331151485443
18,0.25787729024887085,0.8976666927337646,2.061772584915161,0.4048013389110565
19,0.26926693320274353,0.8923333287239075,2.0648279190063477,0.3932119309902191
20,0.2551180422306061,0.8949999809265137,2.1912286281585693,0.3857615888118744
21,0.23756977915763855,0.9103333353996277,2.1562938690185547,0.3973509967327118
22,0.23058554530143738,0.9096666574478149,2.238646984100342,0.38907283544540405
23,0.23523935675621033,0.9113333225250244,2.2408721446990967,0.3857615888118744
24,0.22091011703014374,0.9136666655540466,2.161569595336914,0.4048013389110565
25,0.21695001423358917,0.9173333048820496,2.1077065467834473,0.41887417435646057
26,0.18836508691310883,0.9286666512489319,2.2823843955993652,0.3965231776237488
27,0.1938508152961731,0.9300000071525574,2.305973529815674,0.4023178815841675
28,0.18796582520008087,0.925000011920929,2.298820734024048,0.3981788158416748
29,0.1918538361787796,0.9290000200271606,2.2569541931152344,0.4039735198020935
